,Incident ID,Incident Date,year,State,City Or County,Address,Killed,Injured,Operations
1,739539,December 31,2016,Virginia,Newport News,Vernon Place,0,1,"View Incident
View Source"
2,739764,December 31,2016,Tennessee,Knoxville,Highland View Drive,1,0,"View Incident
View Source"
3,738899,December 31,2016,Florida,Pensacola,3 Talladega Trail,1,1,"View Incident
View Source"
4,741817,December 31,2016,Pennsylvania,Lancaster,100 block of Chesapeake St,0,0,"View Incident
View Source"
5,739284,December 31,2016,Maryland,Baltimore,4600 block of Reistertown Rd,0,1,"View Incident
View Source"
6,1207480,December 31,2016,New Hampshire,Hooksett,N/A,0,0,"View Incident
View Source"
7,740110,December 31,2016,California,Sacramento,43rd Ave and S Land Park Dr,0,0,"View Incident
View Source"
8,744523,December 31,2016,New Mexico,Santa Fe (La Cienga),Camino Largo,0,0,"View Incident
View Source"
9,740888,December 31,2016,Colorado,Colorado Springs,2000 block of Sumter Drive,0,0,"View Incident
View Source"
10,739346,December 31,2016,Nebraska,Omaha,2501 N 38th St,0,1,"View Incident
View Source"
11,739348,December 31,2016,Nebraska,Omaha,61st St and Ames Ave,0,1,"View Incident
View Source"
12,739066,December 31,2016,Florida,Loxahatchee,13289 Compton Rd,1,0,"View Incident
View Source"
13,741322,December 31,2016,Florida,Miami (Cutler Bay),20549 Southwest 93rd Avenue,1,0,"View Incident
View Source"
14,741777,December 31,2016,Florida,Kissimmee,3000 Parkway Blvd,1,0,"View Incident
View Source"
15,746648,December 31,2016,Wyoming,Casper (Bar Nunn),2200 block of Tipton St,0,0,"View Incident
View Source"
16,746647,December 31,2016,Wyoming,Casper,2000 block of Buffalo St,0,0,"View Incident
View Source"
17,746644,December 31,2016,Wyoming,Casper,1800 block of Brigham Young Ave,0,0,"View Incident
View Source"
18,1030975,December 31,2016,Illinois,Carbondale,E Birch St,0,0,"View Incident
View Source"
19,740880,December 31,2016,Florida,Tampa,Deerfield St,0,1,"View Incident
View Source"
20,741738,December 31,2016,North Carolina,Morganton,1419 Havenwood Drive,0,1,"View Incident
View Source"
21,754283,December 31,2016,Colorado,Denver,3200 block of W 14th Ave,0,1,"View Incident
View Source"
22,746622,December 31,2016,California,Pittsburg,1600 block of Norine Drive,0,0,"View Incident
View Source"
23,746614,December 31,2016,California,Brentwood,N/A,0,0,"View Incident
View Source"
24,738771,December 31,2016,Texas,Houston,4235 Oak Shadows,1,0,"View Incident
View Source"
25,740875,December 31,2016,Ohio,Newton Falls,Ridge Road,1,0,"View Incident
View Source"
27,739253,December 31,2016,Texas,Austin,Reinli St and Sheridan Ave,0,1,"View Incident
View Source"
28,741718,December 31,2016,Texas,Houston,6300 Block of Sherwood Dr,1,0,"View Incident
View Source"
29,739255,December 31,2016,Minnesota,Perham,2nd St Southwest,0,1,"View Incident
View Source"
30,745133,December 31,2016,Tennessee,Finley,40 Ash St,0,1,"View Incident
View Source"
31,740145,December 31,2016,Maryland,Baltimore,S Hilton St,0,1,"View Incident
View Source"
32,739004,December 31,2016,Arizona,Tucson,4509 East 22nd Street,0,2,"View Incident
View Source"
33,739248,December 31,2016,Kansas,Kansas City,3rd St and Edgerton Ave,0,1,"View Incident
View Source"
34,739639,December 31,2016,Pennsylvania,Erie,Prospect Ave and June St,1,1,"View Incident
View Source"
35,740839,December 31,2016,Texas,Corpus Christi,200 block of Shawnee Street,0,0,"View Incident
View Source"
36,739242,December 31,2016,Kansas,Wichita,2200 block of North Belmont,0,1,"View Incident
View Source"
37,740832,December 31,2016,Texas,Corpus Christi,400 block of Clark Drive,0,0,"View Incident
View Source"
38,741686,December 31,2016,New Jersey,Trenton,Hamilton Avenue,0,0,"View Incident
View Source"
39,739240,December 31,2016,Iowa,Des Moines,900 Elder Ln,0,1,"View Incident
View Source"
40,739236,December 31,2016,Michigan,Kalamazoo,1900 block of South Westnedge Avenue,0,1,"View Incident
View Source"
41,739569,December 31,2016,Wisconsin,Milwaukee,3200 Block of N Achilles St,0,1,"View Incident
View Source"
42,738669,December 31,2016,Indiana,Indianapolis,8300 block of Whipporwill Drive,0,1,"View Incident
View Source"
43,740436,December 31,2016,Massachusetts,Boston,Topliff St and Holiday St,0,0,"View Incident
View Source"
44,739979,December 31,2016,Missouri,Kansas City,5800 block of Blue Pkwy,0,3,"View Incident
View Source"
45,739230,December 31,2016,Illinois,Chicago,4300 block of South Wolcott,0,1,"View Incident
View Source"
46,739561,December 31,2016,Wisconsin,Milwaukee,4200 block of W. Burleigh Street,0,2,"View Incident
View Source"
47,739227,December 31,2016,Illinois,Chicago,4400 block of South Marshfield,0,2,"View Incident
View Source"
48,739966,December 31,2016,Missouri,Kansas City,East Meyer Blvd and Olive St,0,1,"View Incident
View Source"
49,742732,December 31,2016,New York,Huntington,Bardwell St,0,0,"View Incident
View Source"
50,739947,December 31,2016,Kansas,Topeka,2600 block of SE Massachusetts Ave,0,1,"View Incident
View Source"
51,770614,December 31,2016,Florida,Lakeland,2440 US-92,0,0,"View Incident
View Source"
53,739221,December 31,2016,Georgia,Covington,9176 US 278,0,1,"View Incident
View Source"
54,745128,December 31,2016,Oklahoma,Oklahoma City,8300 block of 106th St,1,0,"View Incident
View Source"
55,738686,December 31,2016,New York,Brooklyn,2265 Bedford Ave,1,0,"View Incident
View Source"
56,740468,December 31,2016,Maine,Oakland,6 Rod Rd,0,0,"View Incident
View Source"
57,738903,December 31,2016,Indiana,Indianapolis,4006 Newburgh Drive,1,0,"View Incident
View Source"
58,740788,December 31,2016,California,Fresno,Van Ness Ave and Belmont Ave,0,0,"View Incident
View Source"
59,825045,December 31,2016,Oklahoma,Tulsa,7700 S Lewis Ave,1,0,"View Incident
View Source"
60,739445,December 31,2016,South Carolina,Seabrook,Coakley Drive and Keans Neck Road,0,0,"View Incident
View Source"
61,739691,December 31,2016,Missouri,Kansas City,418 W 9th St,1,2,"View Incident
View Source"
62,740777,December 31,2016,California,Merced,400 block of West Childs Ave,0,0,"View Incident
View Source"
63,738953,December 31,2016,New York,Mount Vernon,300 block of E 3rd Street,1,1,"View Incident
View Source"
64,739200,December 31,2016,Ohio,Columbus,5526 Hall Rd,0,1,"View Incident
View Source"
65,739893,December 31,2016,New Jersey,Vineland,800 block of East Walnut Road,0,1,"View Incident
View Source"
66,739891,December 31,2016,Florida,Melbourne,2700 block of Cozumel Dr,0,0,"View Incident
View Source"
67,740447,December 31,2016,Georgia,Lenox (El Dorado),27 Briarwood Ct,2,2,"View Incident
View Source"
68,740761,December 31,2016,Kentucky,Louisville,N/A,0,1,"View Incident
View Source"
69,739193,December 31,2016,Ohio,Columbus,Lockbourne Road and Faber Avenue,0,1,"View Incident
View Source"
70,739864,December 31,2016,Virginia,Portsmouth,1500 block of Wilcox Avenue,1,0,"View Incident
View Source"
71,739825,December 31,2016,Florida,Marathon,5515 Overseas Highway,0,0,"View Incident
View Source"
72,738850,December 31,2016,Illinois,Chicago,5600 block of S Albany,0,1,"View Incident
View Source"
73,742697,December 31,2016,Indiana,East Chicago,N/A,0,1,"View Incident
View Source"
74,739160,December 31,2016,Ohio,Dayton,2800 block of Preston Street,0,1,"View Incident
View Source"
75,751458,December 31,2016,New Jersey,Newark,N/A,0,0,"View Incident
View Source"
76,742557,December 31,2016,Minnesota,South Saint Paul,400 block of Camber Avenue,0,0,"View Incident
View Source"
77,746433,December 31,2016,Kansas,Leavenworth,N/A,0,0,"View Incident
View Source"
79,763736,December 31,2016,Kentucky,Louisville,300 block of South 38th Street,0,1,"View Incident
View Source"
80,740708,December 31,2016,North Carolina,Pitt (county),921 Coward Lane,0,1,"View Incident
View Source"
81,741084,December 31,2016,Texas,Austin,Brazos St and E 6th St,0,1,"View Incident
View Source"
82,741593,December 31,2016,Ohio,Youngstown,W Delason Ave,0,0,"View Incident
View Source"
