Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
480589,31-Dec-15,New York,New York (Manhattan),Sherman Street,0,1,N/A
476987,31-Dec-15,North Carolina,Durham,433 Pilot Street,0,2,N/A
476984,31-Dec-15,Missouri,Kansas City,E. 37th Street and Blue Ridge Cutoff,0,0,N/A
476351,31-Dec-15,Massachusetts,New Bedford,Pleasant Street,1,0,N/A
476966,31-Dec-15,North Carolina,Charlotte,Westpark Drive,0,2,N/A
476499,31-Dec-15,Tennessee,Chattanooga,2700 block 6th Avenue,0,1,N/A
483306,31-Dec-15,Missouri,Kansas City,3000 block of Woodland Avenue,0,1,N/A
484916,31-Dec-15,Kansas,Salina,400 block of S. 12th Street,0,0,N/A
484914,31-Dec-15,Kansas,Salina,University Place and Phillips Street,0,0,N/A
477545,31-Dec-15,North Carolina,Pasquotank (county),Sawyer Road,1,0,N/A
476299,31-Dec-15,Pennsylvania,Philadelphia,4400 block of North 7th Street,0,2,N/A
478675,31-Dec-15,California,Modesto,N/A,0,0,N/A
476809,31-Dec-15,Washington,Woodland,143 Whalen Road,1,0,N/A
476886,31-Dec-15,Iowa,Des Moines,1300 block of E. 14th Street,0,1,N/A
476880,31-Dec-15,Florida,Bradenton,500 block of 13th Avenue West,0,0,N/A
476872,31-Dec-15,Indiana,Merrillville,5500 block of Hayes Street,0,3,N/A
478620,31-Dec-15,Louisiana,New Orleans,N/A,0,0,N/A
477490,31-Dec-15,North Carolina,Gaston (county),Highland Street,0,1,N/A
476265,31-Dec-15,Texas,Arlington,1300 S. Bowen Road,0,1,N/A
476148,31-Dec-15,Tennessee,Madison,1700 block of Cumberland Station Boulevard,0,1,N/A
476256,31-Dec-15,Maryland,Oakland,Garrett Highway,0,0,N/A
481799,31-Dec-15,Texas,Montgomery (county),Kendal Ridge Lane and Clear Oaks Lane,0,0,N/A
476509,31-Dec-15,Illinois,Chicago (Englewood),7200 block of South Aberdeen Street,0,1,N/A
476760,31-Dec-15,Maryland,Halethorpe (Lansdowne),400 block of Fourth Ave,0,1,N/A
477473,31-Dec-15,Ohio,Cleveland,3800 block of East 144th Street,0,0,N/A
476040,31-Dec-15,Pennsylvania,Philadelphia,7100 block of Erdrick St,0,1,N/A
476814,31-Dec-15,Florida,Palm Beach,Pipers Clay Drive,0,1,N/A
476807,31-Dec-15,California,San Francisco,Fillmore and Turk,0,1,N/A
476804,31-Dec-15,Colorado,Colorado Springs,E. Platte and Iowa Avenue,0,0,N/A
477973,31-Dec-15,Illinois,Peoria,2503 N. Sheridan Road,0,0,N/A
476800,31-Dec-15,Maryland,Frederick,Waverly Drive,0,0,N/A
526872,31-Dec-15,Maine,Norridgewock,Madison Road,0,0,N/A
480126,31-Dec-15,Colorado,Pueblo,2600 block of Sitter Avenue,0,0,N/A
478561,31-Dec-15,New Hampshire,Nashua,29 Wason Avenue,0,0,N/A
480121,31-Dec-15,Colorado,Pueblo,Sprague and Acero Avenue,0,0,N/A
476623,31-Dec-15,New York,Brooklyn,680 block of Willoughby Avenue,0,2,N/A
476234,31-Dec-15,Maryland,Silver Spring,New Hampshire Avenue,0,0,N/A
477966,31-Dec-15,Illinois,East Saint Louis,1607 Wilfred Ave,1,0,N/A
477437,31-Dec-15,Wyoming,Laramie (county),6100 block of Laramie Street,0,0,N/A
476225,31-Dec-15,Virginia,Richmond,Hull Street Rd. and Greystone Ave.,0,1,N/A
476763,31-Dec-15,Pennsylvania,Philadelphia,300 block of South 16th Street,0,0,N/A
479321,31-Dec-15,Colorado,Colorado Springs,N/A,0,0,N/A
478534,31-Dec-15,Maine,Skowhegan,41 Madison Avenue,0,0,N/A
477422,31-Dec-15,Kansas,Topeka,S.E. 3rd and Lawrence,0,1,N/A
477420,31-Dec-15,Kansas,Topeka,S.W. 5th and S.W. Western,0,1,N/A
477953,31-Dec-15,Illinois,Kankakee,1300 block of East Chestnut Street,0,0,N/A
476735,31-Dec-15,Georgia,Columbus,500 block of Farr Road,0,2,N/A
482583,31-Dec-15,Georgia,Commerce,Mitchell Road,0,0,N/A
499227,31-Dec-15,Tennessee,Washington (county),388 Oak Grove Road,0,0,N/A
476195,31-Dec-15,District of Columbia,Washington,3000 Stanton Road SE,0,1,N/A
476725,31-Dec-15,Maryland,Baltimore,5000 block of York Road,0,0,N/A
482569,31-Dec-15,Georgia,Colbert,Southwinds Drive,0,0,N/A
476473,31-Dec-15,California,Compton,15600 block of South Washington Avenue,1,0,N/A
479277,31-Dec-15,Rhode Island,Providence,298 Pocasset Avenue,0,1,N/A
477400,31-Dec-15,Colorado,Denver,24th and Larimer Street,0,1,N/A
480929,31-Dec-15,District of Columbia,Washington,I Street SE,0,0,N/A
476698,31-Dec-15,California,Merced,500 block of T Street,0,0,N/A
476696,31-Dec-15,Georgia,Atlanta,Cone and Walton,0,1,N/A
476686,31-Dec-15,California,Salinas,300 block of Cross Avenue,0,1,N/A
476679,31-Dec-15,California,Seaside,Kalborn Road,0,1,N/A
476507,31-Dec-15,Virginia,Richmond,00 block of North Thompson Street,0,1,N/A
553464,31-Dec-15,Florida,Pensacola,N/A,0,1,N/A
476174,31-Dec-15,New York,Buffalo,100 block of Wilkes Avenue,0,1,N/A
482541,31-Dec-15,North Dakota,Bismarck,200 block of Riverside Park Road,0,0,N/A
476492,31-Dec-15,New Jersey,Newark,Camden St and 13th Ave,1,0,N/A
476636,31-Dec-15,California,San Bernardino,1300 block of West Belleview Street,0,0,N/A
476634,31-Dec-15,California,San Bernardino,1200 block of West King Street,0,0,N/A
476578,31-Dec-15,Florida,Saint Petersburg,1110 32nd Street,0,1,N/A
479216,31-Dec-15,Georgia,Winterville,1200 block of Athens Road,0,1,N/A
476476,31-Dec-15,Florida,Daytona Beach,971 West International Speedway Boulevard,0,2,N/A
506095,31-Dec-15,Illinois,Troy,N/A,0,0,N/A
476119,31-Dec-15,Alaska,Fairbanks,N/A,0,0,N/A
477916,31-Dec-15,Ohio,Cleveland,3300 block of Fulton Road,0,1,N/A
477332,31-Dec-15,Louisiana,New Orleans,3400 block of Mistletoe Street,0,0,N/A
476445,31-Dec-15,Ohio,Zanesville,768 Pine Street,0,1,N/A
476740,31-Dec-15,South Carolina,Gaffney,N/A,1,0,N/A
476619,31-Dec-15,New York,Rochester,Hoff Street,0,1,N/A
477311,31-Dec-15,California,Santa Ana,1000 block of South Sullivan Street,0,1,N/A
478425,31-Dec-15,California,Wasco,1000 block of 16th Street,1,0,N/A
476778,31-Dec-15,Maryland,Greensboro,MD-313,0,0,N/A
476607,31-Dec-15,New York,Malverne,Southern State Parkway,0,1,N/A
479912,31-Dec-15,Georgia,Statesboro,1699 Statesboro Place Circle,0,0,N/A
476083,31-Dec-15,Mississippi,Rolling Fork,68 Frontage Road,1,0,N/A
477266,31-Dec-15,Georgia,Brunswick,500 block of P Street,0,0,N/A
477262,31-Dec-15,Pennsylvania,Darby (Collingdale),Macdade Blvd and Staley Ave,0,1,N/A
476023,31-Dec-15,Pennsylvania,Philadelphia,3100 block of North 25th Street,1,0,N/A
479132,31-Dec-15,Alabama,Selma,N/A,0,1,N/A
476183,31-Dec-15,West Virginia,Charleston,935 Central Avenue,1,0,N/A
479130,31-Dec-15,Alabama,Selma,1600 block of Maple Street,1,0,N/A
476542,31-Dec-15,California,Oakland,6500 block of Foothill Boulevard,0,2,N/A
476058,31-Dec-15,Connecticut,Bridgeport,N/A,0,0,N/A
476536,31-Dec-15,Florida,Charlotte (county),Mary Street and Helen Street,0,0,N/A
476529,31-Dec-15,New Jersey,Jersey City,Clerk Street,0,0,N/A
476519,31-Dec-15,Illinois,Chicago,6200 block of South Martin Luther King Jr. Drive,0,1,N/A
476503,31-Dec-15,Illinois,Chicago,1000 block of North Lorel Avenue,0,2,N/A
476502,31-Dec-15,Florida,Fort Myers,3710 Nelson Tillis Boulevard,0,0,N/A
476490,31-Dec-15,Tennessee,Jackson,Hale Street,0,1,N/A
476486,31-Dec-15,California,Burbank,200 block of West Verdugo Avenue,0,1,N/A
476482,31-Dec-15,Maryland,Baltimore,North Poppleton Street,1,0,N/A
476566,31-Dec-15,Virginia,Newport News,1100 block of 28th Street,0,1,N/A
479074,31-Dec-15,New Jersey,Paterson,North Main,0,0,N/A
475982,31-Dec-15,Florida,Daytona Beach,309 Pearl St,2,1,N/A
479070,31-Dec-15,New Jersey,Paterson,North Main,0,0,N/A
477119,31-Dec-15,Tennessee,Cordova,1600 block of Beaver Trail Drive,0,0,N/A
525030,31-Dec-15,Illinois,Chicago,N/A,0,0,N/A
476439,31-Dec-15,Pennsylvania,Pittsburgh,1921 Brownsville Road,0,1,N/A
479049,31-Dec-15,New Jersey,Wildwood,4600 block of Park Boulevard,0,0,N/A
483045,31-Dec-15,New York,Brentwood,Brentwood Parkway,0,1,N/A
481372,31-Dec-15,Florida,Hollywood (West Park),5800 block of SW 27th St,1,0,N/A
475997,31-Dec-15,Florida,Clermont,N/A,0,1,N/A
493594,31-Dec-15,Ohio,Akron,800 block of East Crosier Street,0,1,N/A
757693,31-Dec-15,Louisiana,Ragley,Papania Rd,1,0,N/A
477147,31-Dec-15,New York,Brooklyn,1595 Canarsie Road,0,0,N/A
476866,31-Dec-15,Florida,Wildwood,High Street,0,2,N/A
476230,31-Dec-15,Nevada,Las Vegas,8300 block of Gilded Crown Ct,1,0,N/A
480276,31-Dec-15,Missouri,Saint Louis,Bascom Dr,0,1,N/A
475940,31-Dec-15,California,Long Beach,1600 block of Pacific Avenue,0,1,N/A
475930,31-Dec-15,Kentucky,Lexington,Red Mile Road,0,1,N/A
476343,31-Dec-15,New York,Jamaica,109th Ave and Merrick Blvd,1,0,N/A
476437,31-Dec-15,Ohio,Columbus,North Central Avenue,0,1,N/A
