Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
739539,31-Dec-16,Virginia,Newport News,Vernon Place,0,1,N/A
739764,31-Dec-16,Tennessee,Knoxville,Highland View Drive,1,0,N/A
738899,31-Dec-16,Florida,Pensacola,3 Talladega Trail,1,1,N/A
741817,31-Dec-16,Pennsylvania,Lancaster,100 block of Chesapeake St,0,0,N/A
739284,31-Dec-16,Maryland,Baltimore,4600 block of Reistertown Rd,0,1,N/A
1207480,31-Dec-16,New Hampshire,Hooksett,N/A,0,0,N/A
740110,31-Dec-16,California,Sacramento,43rd Ave and S Land Park Dr,0,0,N/A
744523,31-Dec-16,New Mexico,Santa Fe (La Cienga),Camino Largo,0,0,N/A
740888,31-Dec-16,Colorado,Colorado Springs,2000 block of Sumter Drive,0,0,N/A
739346,31-Dec-16,Nebraska,Omaha,2501 N 38th St,0,1,N/A
739348,31-Dec-16,Nebraska,Omaha,61st St and Ames Ave,0,1,N/A
739066,31-Dec-16,Florida,Loxahatchee,13289 Compton Rd,1,0,N/A
741322,31-Dec-16,Florida,Miami (Cutler Bay),20549 Southwest 93rd Avenue,1,0,N/A
741777,31-Dec-16,Florida,Kissimmee,3000 Parkway Blvd,1,0,N/A
746648,31-Dec-16,Wyoming,Casper (Bar Nunn),2200 block of Tipton St,0,0,N/A
746647,31-Dec-16,Wyoming,Casper,2000 block of Buffalo St,0,0,N/A
746644,31-Dec-16,Wyoming,Casper,1800 block of Brigham Young Ave,0,0,N/A
1030975,31-Dec-16,Illinois,Carbondale,E Birch St,0,0,N/A
740880,31-Dec-16,Florida,Tampa,Deerfield St,0,1,N/A
741738,31-Dec-16,North Carolina,Morganton,1419 Havenwood Drive,0,1,N/A
754283,31-Dec-16,Colorado,Denver,3200 block of W 14th Ave,0,1,N/A
746622,31-Dec-16,California,Pittsburg,1600 block of Norine Drive,0,0,N/A
746614,31-Dec-16,California,Brentwood,N/A,0,0,N/A
738771,31-Dec-16,Texas,Houston,4235 Oak Shadows,1,0,N/A
740875,31-Dec-16,Ohio,Newton Falls,Ridge Road,1,0,N/A
739253,31-Dec-16,Texas,Austin,Reinli St and Sheridan Ave,0,1,N/A
741718,31-Dec-16,Texas,Houston,6300 Block of Sherwood Dr,1,0,N/A
739255,31-Dec-16,Minnesota,Perham,2nd St Southwest,0,1,N/A
745133,31-Dec-16,Tennessee,Finley,40 Ash St,0,1,N/A
740145,31-Dec-16,Maryland,Baltimore,S Hilton St,0,1,N/A
739004,31-Dec-16,Arizona,Tucson,4509 East 22nd Street,0,2,N/A
739248,31-Dec-16,Kansas,Kansas City,3rd St and Edgerton Ave,0,1,N/A
739639,31-Dec-16,Pennsylvania,Erie,Prospect Ave and June St,1,1,N/A
740839,31-Dec-16,Texas,Corpus Christi,200 block of Shawnee Street,0,0,N/A
739242,31-Dec-16,Kansas,Wichita,2200 block of North Belmont,0,1,N/A
740832,31-Dec-16,Texas,Corpus Christi,400 block of Clark Drive,0,0,N/A
741686,31-Dec-16,New Jersey,Trenton,Hamilton Avenue,0,0,N/A
739240,31-Dec-16,Iowa,Des Moines,900 Elder Ln,0,1,N/A
