,Unnamed: 0,Incident ID,Incident Date,year,State,City Or County,Address,Killed,Injured,Operations
0,1,480589,December 31,2015,New York,New York (Manhattan),Sherman Street,0,1,"View Incident
View Source"
0,1,1506655,September 18,2019,Indiana,Fort Wayne,4000 block of Reed St,0,3,"View Incident
View Source"
0,1,739539,December 31,2016,Virginia,Newport News,Vernon Place,0,1,"View Incident
View Source"
0,1,1290435,December 31,2018,Nebraska,Omaha,2500 block of Emmet St,0,0,"View Incident
View Source"
0,1,1021362,December 31,2017,Texas,Kilgore,1910 Meadowgreen Dr,1,0,"View Incident
View Source"
1,2,1506387,September 18,2019,Pennsylvania,Pittsburgh,Cordell Pl,0,1,"View Incident
View Source"
1,2,1291253,December 31,2018,West Virginia,Worthington,Michael Hill Rd,0,0,"View Incident
View Source"
1,2,1017727,December 31,2017,Tennessee,Nashville,I 65 and Trinity Lane,1,1,"View Incident
View Source"
1,2,739764,December 31,2016,Tennessee,Knoxville,Highland View Drive,1,0,"View Incident
View Source"
1,2,476987,December 31,2015,North Carolina,Durham,433 Pilot Street,0,2,"View Incident
View Source"
2,3,1289028,December 31,2018,Oklahoma,Oklahoma City,N Rockwell Ave and W Wilshire Blvd,0,1,"View Incident
View Source"
2,3,476984,December 31,2015,Missouri,Kansas City,E. 37th Street and Blue Ridge Cutoff,0,0,"View Incident
View Source"
2,3,1506592,September 18,2019,Alabama,Scottsboro,102 E Laurel St,0,1,"View Incident
View Source"
2,3,738899,December 31,2016,Florida,Pensacola,3 Talladega Trail,1,1,"View Incident
View Source"
2,3,1018010,December 31,2017,Alabama,Huntsville,1409 Lancewood Dr NW,0,1,"View Incident
View Source"
3,4,1506556,September 18,2019,Texas,San Antonio,La Barca Dr,0,1,"View Incident
View Source"
3,4,741817,December 31,2016,Pennsylvania,Lancaster,100 block of Chesapeake St,0,0,"View Incident
View Source"
3,4,1023659,December 31,2017,North Carolina,Elizabethtown,968 Jacobs Loop Rd,0,1,"View Incident
View Source"
3,4,1290413,December 31,2018,Nevada,Las Vegas,N E St and Jefferson Ave,0,1,"View Incident
View Source"
3,4,476351,December 31,2015,Massachusetts,New Bedford,Pleasant Street,1,0,"View Incident
View Source"
4,5,1290400,December 31,2018,Vermont,Burlington,N Champlain St and Manhattan Dr,0,0,"View Incident
View Source"
4,5,1506539,September 18,2019,Michigan,Marshall,I-94,0,0,"View Incident
View Source"
4,5,476966,December 31,2015,North Carolina,Charlotte,Westpark Drive,0,2,"View Incident
View Source"
4,5,1020322,December 31,2017,Illinois,Urbana,1365 N Lincoln Ave,0,1,"View Incident
View Source"
4,5,739284,December 31,2016,Maryland,Baltimore,4600 block of Reistertown Rd,0,1,"View Incident
View Source"
5,6,1017993,December 31,2017,Georgia,Atlanta,Glenwood Ave,0,1,"View Incident
View Source"
5,6,1295009,December 31,2018,Missouri,Saint Louis (Overland),,0,0,"View Incident
View Source"
5,6,1207480,December 31,2016,New Hampshire,Hooksett,,0,0,"View Incident
View Source"
5,6,476499,December 31,2015,Tennessee,Chattanooga,2700 block 6th Avenue,0,1,"View Incident
View Source"
5,6,1506412,September 18,2019,Maryland,Pasadena,1400 block of Orr Ct,1,0,"View Incident
View Source"
6,7,1506460,September 18,2019,Georgia,Snellville,Stone Mountain Hwy and Easy St,0,0,"View Incident
View Source"
6,7,1020019,December 31,2017,Washington,Marysville,5115 84th St NE,0,0,"View Incident
View Source"
6,7,483306,December 31,2015,Missouri,Kansas City,3000 block of Woodland Avenue,0,1,"View Incident
View Source"
6,7,1291926,December 31,2018,North Carolina,Durham,Hill St,0,1,"View Incident
View Source"
6,7,740110,December 31,2016,California,Sacramento,43rd Ave and S Land Park Dr,0,0,"View Incident
View Source"
7,8,1017947,December 31,2017,Michigan,Ypsilanti,Cliffs Dr,1,0,"View Incident
View Source"
7,8,1506454,September 18,2019,Florida,Sarasota,1200 block of Cornish Ct,1,0,"View Incident
View Source"
7,8,484916,December 31,2015,Kansas,Salina,400 block of S. 12th Street,0,0,"View Incident
View Source"
7,8,1290378,December 31,2018,Massachusetts,Worcester,Dorchester St and Cutler St,0,0,"View Incident
View Source"
7,8,744523,December 31,2016,New Mexico,Santa Fe (La Cienga),Camino Largo,0,0,"View Incident
View Source"
8,9,1290368,December 31,2018,Texas,Houston,Kashmere St and Collingsworth St,0,0,"View Incident
View Source"
8,9,1017986,December 31,2017,Texas,Lubbock,6002 Slide Rd,0,0,"View Incident
View Source"
8,9,484914,December 31,2015,Kansas,Salina,University Place and Phillips Street,0,0,"View Incident
View Source"
8,9,740888,December 31,2016,Colorado,Colorado Springs,2000 block of Sumter Drive,0,0,"View Incident
View Source"
8,9,1506446,September 18,2019,Florida,Bradenton,3500 block of 39th St E,0,1,"View Incident
View Source"
9,10,1506430,September 18,2019,Florida,Lawtey,Co Rd 200A,0,1,"View Incident
View Source"
9,10,739346,December 31,2016,Nebraska,Omaha,2501 N 38th St,0,1,"View Incident
View Source"
9,10,1290364,December 31,2018,Massachusetts,Boston,Harrison Ave and Oxford Pl,0,0,"View Incident
View Source"
9,10,1018774,December 31,2017,Virginia,Chesapeake,600 block of Happy Acres,0,1,"View Incident
View Source"
9,10,477545,December 31,2015,North Carolina,Pasquotank (county),Sawyer Road,1,0,"View Incident
View Source"
10,11,476299,December 31,2015,Pennsylvania,Philadelphia,4400 block of North 7th Street,0,2,"View Incident
View Source"
10,11,1506424,September 18,2019,Maryland,Baltimore,3400 block of Piedmont Ave,1,0,"View Incident
View Source"
10,11,1289364,December 31,2018,Indiana,Evansville,West Columbia St,0,0,"View Incident
View Source"
10,11,739348,December 31,2016,Nebraska,Omaha,61st St and Ames Ave,0,1,"View Incident
View Source"
10,11,1018763,December 31,2017,Arkansas,Fayetteville,3215 N Northhills Blvd,0,0,"View Incident
View Source"
11,12,1506407,September 18,2019,Florida,Boynton Beach,2300 Block of NW 17th Ave,0,2,"View Incident
View Source"
11,12,1289362,December 31,2018,New York,New York (Manhattan),110 Bedford St,1,0,"View Incident
View Source"
11,12,1017868,December 31,2017,Oklahoma,Oklahoma City,1111 S Eastern Ave,0,1,"View Incident
View Source"
11,12,739066,December 31,2016,Florida,Loxahatchee,13289 Compton Rd,1,0,"View Incident
View Source"
11,12,478675,December 31,2015,California,Modesto,,0,0,"View Incident
View Source"
12,13,1506396,September 18,2019,District of Columbia,Washington,1500 block of Morris Rd SE,0,0,"View Incident
View Source"
12,13,741322,December 31,2016,Florida,Miami (Cutler Bay),20549 Southwest 93rd Avenue,1,0,"View Incident
View Source"
12,13,1017484,December 31,2017,Florida,Orlando,I-4 and Kirkman Rd,0,3,"View Incident
View Source"
12,13,1292848,December 31,2018,Kansas,Olathe,12051 Bass Pro Dr,0,0,"View Incident
View Source"
12,13,476809,December 31,2015,Washington,Woodland,143 Whalen Road,1,0,"View Incident
View Source"
13,14,1017977,December 31,2017,Minnesota,Stillwater (Oak Park Heights),14800 block of 57th St N,0,0,"View Incident
View Source"
13,14,1289794,December 31,2018,Georgia,Stone Mountain,5345 Memorial Dr,1,0,"View Incident
View Source"
13,14,741777,December 31,2016,Florida,Kissimmee,3000 Parkway Blvd,1,0,"View Incident
View Source"
13,14,476886,December 31,2015,Iowa,Des Moines,1300 block of E. 14th Street,0,1,"View Incident
View Source"
13,14,1506384,September 18,2019,Pennsylvania,Philadelphia,400 block of Van Kirk St,1,0,"View Incident
View Source"
14,15,1052098,December 31,2017,Texas,San Antonio,1600 block of Mardell St,1,0,"View Incident
View Source"
14,15,1291834,December 31,2018,Florida,Fort Pierce,2400 block of N 42nd St,0,0,"View Incident
View Source"
14,15,746648,December 31,2016,Wyoming,Casper (Bar Nunn),2200 block of Tipton St,0,0,"View Incident
View Source"
14,15,476880,December 31,2015,Florida,Bradenton,500 block of 13th Avenue West,0,0,"View Incident
View Source"
14,15,1506379,September 18,2019,New Jersey,Elizabeth,1037 Bond St,0,0,"View Incident
View Source"
15,16,1290146,December 31,2018,Texas,Fort Worth,5430 Miller Ave,0,0,"View Incident
View Source"
15,16,746647,December 31,2016,Wyoming,Casper,2000 block of Buffalo St,0,0,"View Incident
View Source"
15,16,476872,December 31,2015,Indiana,Merrillville,5500 block of Hayes Street,0,3,"View Incident
View Source"
15,16,1505550,September 17,2019,New York,Staten Island,20 Prince St,1,1,"View Incident
View Source"
15,16,1161485,December 31,2017,Arkansas,North Little Rock,5612 John F Kennedy Blvd,0,0,"View Incident
View Source"
16,17,1506299,September 17,2019,New York,Corona (Queens),59th St and Woodside Ave,0,1,"View Incident
View Source"
16,17,1078962,December 31,2017,North Carolina,Engelhard,N Lake Rd,0,0,"View Incident
View Source"
16,17,746644,December 31,2016,Wyoming,Casper,1800 block of Brigham Young Ave,0,0,"View Incident
View Source"
16,17,1290313,December 31,2018,Kansas,Goessel,301 E Commercial St,0,0,"View Incident
View Source"
16,17,478620,December 31,2015,Louisiana,New Orleans,,0,0,"View Incident
View Source"
17,18,1030975,December 31,2016,Illinois,Carbondale,E Birch St,0,0,"View Incident
View Source"
17,18,1288927,December 31,2018,Colorado,Longmont,2211 Pratt St,1,0,"View Incident
View Source"
17,18,1019108,December 31,2017,Colorado,Denver,214 S Federal Blvd,1,0,"View Incident
View Source"
17,18,1506290,September 17,2019,New York,Syracuse,W Brighton Ave,0,1,"View Incident
View Source"
17,18,477490,December 31,2015,North Carolina,Gaston (county),Highland Street,0,1,"View Incident
View Source"
18,19,476265,December 31,2015,Texas,Arlington,1300 S. Bowen Road,0,1,"View Incident
View Source"
18,19,1291156,December 31,2018,Texas,Mexia,500 block of W Commerce St,0,0,"View Incident
View Source"
18,19,1506288,September 17,2019,Illinois,Quincy,1300 block of N 4th St,0,0,"View Incident
View Source"
18,19,1017997,December 31,2017,Missouri,Florissant,11300 block of Bristol Rock Rd,1,0,"View Incident
View Source"
18,19,740880,December 31,2016,Florida,Tampa,Deerfield St,0,1,"View Incident
View Source"
19,20,1290298,December 31,2018,Ohio,Dayton,2500 block of Home Ave,0,1,"View Incident
View Source"
19,20,1505511,September 17,2019,New York,Troy,111th St and Fourth Ave,1,0,"View Incident
View Source"
19,20,741738,December 31,2016,North Carolina,Morganton,1419 Havenwood Drive,0,1,"View Incident
View Source"
19,20,476148,December 31,2015,Tennessee,Madison,1700 block of Cumberland Station Boulevard,0,1,"View Incident
View Source"
19,20,1017788,December 31,2017,New York,Brooklyn,E 15th St and Ave S,0,1,"View Incident
View Source"
20,21,476256,December 31,2015,Maryland,Oakland,Garrett Highway,0,0,"View Incident
View Source"
20,21,1506224,September 17,2019,Michigan,Detroit,6300 block of Memorial St,1,1,"View Incident
View Source"
20,21,1031302,December 31,2017,California,Northridge,8644 Balboa Blvd,1,0,"View Incident
View Source"
20,21,1289318,December 31,2018,Massachusetts,Methuen,Lowell St and N Lowell St,0,0,"View Incident
View Source"
20,21,754283,December 31,2016,Colorado,Denver,3200 block of W 14th Ave,0,1,"View Incident
View Source"
21,22,1506241,September 17,2019,Michigan,Jackson,200 block of Third St,1,0,"View Incident
View Source"
21,22,1025819,December 31,2017,South Carolina,Florence,500 S Ballard St,1,0,"View Incident
View Source"
21,22,481799,December 31,2015,Texas,Montgomery (county),Kendal Ridge Lane and Clear Oaks Lane,0,0,"View Incident
View Source"
21,22,1290261,December 31,2018,Kentucky,Owensboro,700 block of Elm St,0,0,"View Incident
View Source"
21,22,746622,December 31,2016,California,Pittsburg,1600 block of Norine Drive,0,0,"View Incident
View Source"
22,23,1019944,December 31,2017,California,San Diego,Teak St and S 38th Street,1,0,"View Incident
View Source"
22,23,476509,December 31,2015,Illinois,Chicago (Englewood),7200 block of South Aberdeen Street,0,1,"View Incident
View Source"
22,23,746614,December 31,2016,California,Brentwood,,0,0,"View Incident
View Source"
22,23,1290285,December 31,2018,Texas,Houston,12101 Fondren Rd,1,0,"View Incident
View Source"
22,23,1506234,September 17,2019,Tennessee,Nashville,904 26th Ave N,0,0,"View Incident
View Source"
23,24,1018459,December 31,2017,Missouri,Columbia,1612 N Providence Rd,0,0,"View Incident
View Source"
23,24,1506232,September 17,2019,Michigan,Muskegon,Peck St and Irwin Ave,0,0,"View Incident
View Source"
23,24,1290274,December 31,2018,Kansas,Topeka,SW 17th St and SW Westport Dr,0,0,"View Incident
View Source"
23,24,476760,December 31,2015,Maryland,Halethorpe (Lansdowne),400 block of Fourth Ave,0,1,"View Incident
View Source"
23,24,738771,December 31,2016,Texas,Houston,4235 Oak Shadows,1,0,"View Incident
View Source"
24,25,1506227,September 17,2019,California,Tracy,Peony Dr and Windsong Dr,0,0,"View Incident
View Source"
24,25,1021272,December 31,2017,Georgia,Mableton,Felton Ln,0,0,"View Incident
View Source"
24,25,477473,December 31,2015,Ohio,Cleveland,3800 block of East 144th Street,0,0,"View Incident
View Source"
24,25,1290266,December 31,2018,Louisiana,Baton Rouge,6300 block of Airline Hwy,0,0,"View Incident
View Source"
24,25,740875,December 31,2016,Ohio,Newton Falls,Ridge Road,1,0,"View Incident
View Source"
25,27,1018456,December 31,2017,California,Bakersfield,1101 E Belle Ter,0,0,"View Incident
View Source"
25,27,1288883,December 31,2018,Pennsylvania,Waterville,Church St,1,0,"View Incident
View Source"
25,27,1506221,September 17,2019,Kentucky,Louisville,32nd St and River Park Dr,0,2,"View Incident
View Source"
25,27,739253,December 31,2016,Texas,Austin,Reinli St and Sheridan Ave,0,1,"View Incident
View Source"
25,27,476040,December 31,2015,Pennsylvania,Philadelphia,7100 block of Erdrick St,0,1,"View Incident
View Source"
26,28,1289893,December 31,2018,South Carolina,Columbia,300 block of S Highland Forest Dr,1,0,"View Incident
View Source"
26,28,476814,December 31,2015,Florida,Palm Beach,Pipers Clay Drive,0,1,"View Incident
View Source"
26,28,741718,December 31,2016,Texas,Houston,6300 Block of Sherwood Dr,1,0,"View Incident
View Source"
26,28,1506169,September 17,2019,California,Delano,10200 Casey Ave,1,0,"View Incident
View Source"
26,28,1017714,December 31,2017,California,Los Angeles,869 S Western Ave,0,1,"View Incident
View Source"
27,29,1017976,December 31,2017,Minnesota,Minneapolis,3200 block of Polk St NE,0,0,"View Incident
View Source"
27,29,476807,December 31,2015,California,San Francisco,Fillmore and Turk,0,1,"View Incident
View Source"
27,29,739255,December 31,2016,Minnesota,Perham,2nd St Southwest,0,1,"View Incident
View Source"
27,29,1290256,December 31,2018,Texas,Fort Worth,2900 Renaissance Dr,0,1,"View Incident
View Source"
27,29,1506136,September 17,2019,Florida,Orlando,10400 Block of Kingbrook Ln,1,0,"View Incident
View Source"
28,30,1506128,September 17,2019,Maine,Rumford,97 Maine Avenue,0,1,"View Incident
View Source"
28,30,1018229,December 31,2017,Georgia,Augusta,1814 Fayetteville Dr,1,0,"View Incident
View Source"
28,30,1289282,December 31,2018,Missouri,Springfield,500 block of S New Ave,0,0,"View Incident
View Source"
28,30,745133,December 31,2016,Tennessee,Finley,40 Ash St,0,1,"View Incident
View Source"
28,30,476804,December 31,2015,Colorado,Colorado Springs,E. Platte and Iowa Avenue,0,0,"View Incident
View Source"
29,31,1017975,December 31,2017,Minnesota,Minneapolis,2400 block of Plymouth Ave N,0,0,"View Incident
View Source"
29,31,1292746,December 31,2018,Ohio,Cleveland,W St Clair Ave and W 9th St,0,1,"View Incident
View Source"
29,31,477973,December 31,2015,Illinois,Peoria,2503 N. Sheridan Road,0,0,"View Incident
View Source"
29,31,740145,December 31,2016,Maryland,Baltimore,S Hilton St,0,1,"View Incident
View Source"
29,31,1506124,September 17,2019,Iowa,Davenport,6300 blocks of Appomattox Rd,0,0,"View Incident
View Source"
30,32,1506120,September 17,2019,Maryland,Baltimore,5400 block of Belair Rd,0,1,"View Incident
View Source"
30,32,1018693,December 31,2017,Texas,San Antonio,1227 Quintana Rd,0,0,"View Incident
View Source"
30,32,739004,December 31,2016,Arizona,Tucson,4509 East 22nd Street,0,2,"View Incident
View Source"
30,32,476800,December 31,2015,Maryland,Frederick,Waverly Drive,0,0,"View Incident
View Source"
30,32,1290238,December 31,2018,Kentucky,Hopkinsville,101 Talbert Dr,0,1,"View Incident
View Source"
31,33,1506023,September 17,2019,Virginia,Richmond,2900 block of Huntwick Ct,1,0,"View Incident
View Source"
31,33,739248,December 31,2016,Kansas,Kansas City,3rd St and Edgerton Ave,0,1,"View Incident
View Source"
31,33,526872,December 31,2015,Maine,Norridgewock,Madison Road,0,0,"View Incident
View Source"
31,33,1017954,December 31,2017,North Carolina,Charlotte,500 Block of Capps Hill Mine Rd,0,1,"View Incident
View Source"
31,33,1289274,December 31,2018,New York,Nyack,108 Main St,0,0,"View Incident
View Source"
32,34,739639,December 31,2016,Pennsylvania,Erie,Prospect Ave and June St,1,1,"View Incident
View Source"
32,34,1290226,December 31,2018,Louisiana,New Orleans,4700 block of Piety St,0,1,"View Incident
View Source"
32,34,480126,December 31,2015,Colorado,Pueblo,2600 block of Sitter Avenue,0,0,"View Incident
View Source"
32,34,1017956,December 31,2017,North Carolina,Charlotte,6600 Block of Elgywood Ln,0,1,"View Incident
View Source"
32,34,1506054,September 17,2019,Florida,Milton,5988 US 90,1,0,"View Incident
View Source"
33,35,740839,December 31,2016,Texas,Corpus Christi,200 block of Shawnee Street,0,0,"View Incident
View Source"
33,35,1017749,December 31,2017,Texas,Fort Worth,5800 block of Hiett Ct,0,2,"View Incident
View Source"
33,35,1290221,December 31,2018,Oklahoma,Tulsa,,0,0,"View Incident
View Source"
33,35,478561,December 31,2015,New Hampshire,Nashua,29 Wason Avenue,0,0,"View Incident
View Source"
33,35,1506039,September 17,2019,Virginia,Richmond,2100 block of Accommodation St,0,2,"View Incident
View Source"
34,36,480121,December 31,2015,Colorado,Pueblo,Sprague and Acero Avenue,0,0,"View Incident
View Source"
34,36,739242,December 31,2016,Kansas,Wichita,2200 block of North Belmont,0,1,"View Incident
View Source"
34,36,1506032,September 17,2019,Arizona,Phoenix,3402 W Campbell Ave,0,1,"View Incident
View Source"
34,36,1292736,December 31,2018,South Carolina,Burton,Milledge Village Rd,0,0,"View Incident
View Source"
34,36,1018661,December 31,2017,Illinois,Joliet,900 Rosalind St,2,0,"View Incident
View Source"
35,37,1505998,September 17,2019,Tennessee,Memphis,Park Ave and Prescott Rd,0,0,"View Incident
View Source"
35,37,1289359,December 31,2018,Pennsylvania,Philadelphia,4200 block of N Broad St,0,0,"View Incident
View Source"
35,37,740832,December 31,2016,Texas,Corpus Christi,400 block of Clark Drive,0,0,"View Incident
View Source"
35,37,476623,December 31,2015,New York,Brooklyn,680 block of Willoughby Avenue,0,2,"View Incident
View Source"
35,37,1019967,December 31,2017,California,Richmond,600 block of South 21st St,0,0,"View Incident
View Source"
36,38,1017958,December 31,2017,Illinois,Chicago,7300 S Sangamon St,0,1,"View Incident
View Source"
36,38,1505978,September 17,2019,Kansas,Topeka,341 SE Lawrence St,0,3,"View Incident
View Source"
36,38,476234,December 31,2015,Maryland,Silver Spring,New Hampshire Avenue,0,0,"View Incident
View Source"
36,38,1289354,December 31,2018,Connecticut,Hartford,942 Main St,0,2,"View Incident
View Source"
36,38,741686,December 31,2016,New Jersey,Trenton,Hamilton Avenue,0,0,"View Incident
View Source"
37,39,477966,December 31,2015,Illinois,East Saint Louis,1607 Wilfred Ave,1,0,"View Incident
View Source"
37,39,1289335,December 31,2018,Louisiana,New Orleans,2500 block of Gravier St,1,0,"View Incident
View Source"
37,39,739240,December 31,2016,Iowa,Des Moines,900 Elder Ln,0,1,"View Incident
View Source"
37,39,1017764,December 31,2017,California,Delano,2100 block of Norwalk St,1,0,"View Incident
View Source"
37,39,1505974,September 17,2019,Iowa,Waterloo,W 6th St and Allen St,0,0,"View Incident
View Source"
38,40,1020131,December 31,2017,Massachusetts,Canton,Randolph St,0,0,"View Incident
View Source"
38,40,477437,December 31,2015,Wyoming,Laramie (county),6100 block of Laramie Street,0,0,"View Incident
View Source"
38,40,739236,December 31,2016,Michigan,Kalamazoo,1900 block of South Westnedge Avenue,0,1,"View Incident
View Source"
38,40,1505964,September 17,2019,Tennessee,Memphis,3800 block of Maid Marian Ln,1,0,"View Incident
View Source"
38,40,1291538,December 31,2018,Pennsylvania,Douglassville,2300 block of E Main St,0,0,"View Incident
View Source"
39,41,1021222,December 31,2017,Washington,University Place,6300 block of 54th St W,0,0,"View Incident
View Source"
39,41,476225,December 31,2015,Virginia,Richmond,Hull Street Rd. and Greystone Ave.,0,1,"View Incident
View Source"
39,41,739569,December 31,2016,Wisconsin,Milwaukee,3200 Block of N Achilles St,0,1,"View Incident
View Source"
39,41,1505942,September 17,2019,Georgia,Winder,985 Austin Rd,0,0,"View Incident
View Source"
39,41,1290194,December 31,2018,Missouri,Saint Louis,Davis St and Virginia Ave,1,0,"View Incident
View Source"
40,42,476763,December 31,2015,Pennsylvania,Philadelphia,300 block of South 16th Street,0,0,"View Incident
View Source"
40,42,1505939,September 17,2019,Colorado,Denver,Lackland Pl and Altura St,1,0,"View Incident
View Source"
40,42,1290183,December 31,2018,West Virginia,Charleston,,0,0,"View Incident
View Source"
40,42,738669,December 31,2016,Indiana,Indianapolis,8300 block of Whipporwill Drive,0,1,"View Incident
View Source"
40,42,1017945,December 31,2017,Oregon,Eugene,W 13th Ave and Polk St,0,0,"View Incident
View Source"
41,43,1506669,September 17,2019,California,Willowbrook,12100 block of Wilmington Ave,1,0,"View Incident
View Source"
41,43,479321,December 31,2015,Colorado,Colorado Springs,,0,0,"View Incident
View Source"
41,43,1064707,December 31,2017,Florida,Hillsborough (county),,0,0,"View Incident
View Source"
41,43,740436,December 31,2016,Massachusetts,Boston,Topliff St and Holiday St,0,0,"View Incident
View Source"
41,43,1289279,December 31,2018,Alabama,Birmingham,3205 Birmingport Rd,1,1,"View Incident
View Source"
42,44,739979,December 31,2016,Missouri,Kansas City,5800 block of Blue Pkwy,0,3,"View Incident
View Source"
42,44,1290186,December 31,2018,New York,Buffalo,Cambridge Ave,0,1,"View Incident
View Source"
42,44,1018532,December 31,2017,Virginia,Hopewell,2400 block of Wakefield Street,1,0,"View Incident
View Source"
42,44,1505919,September 17,2019,District of Columbia,Washington,3900 block of Pennsylvania Avenue SE,0,1,"View Incident
View Source"
42,44,478534,December 31,2015,Maine,Skowhegan,41 Madison Avenue,0,0,"View Incident
View Source"
43,45,739230,December 31,2016,Illinois,Chicago,4300 block of South Wolcott,0,1,"View Incident
View Source"
43,45,477422,December 31,2015,Kansas,Topeka,S.E. 3rd and Lawrence,0,1,"View Incident
View Source"
43,45,1018079,December 31,2017,Nevada,Las Vegas,4800 block of Chantilly Ave,1,0,"View Incident
View Source"
43,45,1505907,September 17,2019,Indiana,Hammond,7000 block of Lindberg Ave,1,0,"View Incident
View Source"
43,45,1291341,December 31,2018,Michigan,Benton Harbor,2086 Colfax Ave,1,0,"View Incident
View Source"
44,46,1290159,December 31,2018,Louisiana,New Iberia,Ann St and 20 Arpent Rd,0,1,"View Incident
View Source"
44,46,1018282,December 31,2017,Texas,Austin,4800 block of Doss Rd,1,0,"View Incident
View Source"
44,46,739561,December 31,2016,Wisconsin,Milwaukee,4200 block of W. Burleigh Street,0,2,"View Incident
View Source"
44,46,1505905,September 17,2019,South Carolina,Newberry,2000 block of Drayton St,1,0,"View Incident
View Source"
44,46,477420,December 31,2015,Kansas,Topeka,S.W. 5th and S.W. Western,0,1,"View Incident
View Source"
45,47,1289238,December 31,2018,Florida,Miami Gardens,4400 block of NW 200th St,0,1,"View Incident
View Source"
45,47,1505895,September 17,2019,Colorado,Colorado Springs,N Prospect St and E Boulder St,0,0,"View Incident
View Source"
45,47,1019020,December 31,2017,Mississippi,Cleveland,,1,0,"View Incident
View Source"
45,47,739227,December 31,2016,Illinois,Chicago,4400 block of South Marshfield,0,2,"View Incident
View Source"
45,47,477953,December 31,2015,Illinois,Kankakee,1300 block of East Chestnut Street,0,0,"View Incident
View Source"
46,48,1290523,December 31,2018,Colorado,Denver,2900 N Downing St,0,1,"View Incident
View Source"
46,48,739966,December 31,2016,Missouri,Kansas City,East Meyer Blvd and Olive St,0,1,"View Incident
View Source"
46,48,476735,December 31,2015,Georgia,Columbus,500 block of Farr Road,0,2,"View Incident
View Source"
46,48,1505851,September 17,2019,North Carolina,Greensboro,1700 block of Grove St,0,2,"View Incident
View Source"
46,48,1017876,December 31,2017,Massachusetts,Boston,Blue Hill Ave and Sunderland St,0,0,"View Incident
View Source"
47,49,1506617,September 17,2019,Pennsylvania,Erie,1800 block of German St,0,1,"View Incident
View Source"
47,49,1290134,December 31,2018,Missouri,Saint Joseph,,0,1,"View Incident
View Source"
47,49,742732,December 31,2016,New York,Huntington,Bardwell St,0,0,"View Incident
View Source"
47,49,482583,December 31,2015,Georgia,Commerce,Mitchell Road,0,0,"View Incident
View Source"
47,49,1018218,December 31,2017,New Jersey,Trenton,100 block of Brown St,1,1,"View Incident
View Source"
48,50,1133679,December 31,2017,South Carolina,Myrtle Beach,3506 US 501,0,0,"View Incident
View Source"
48,50,499227,December 31,2015,Tennessee,Washington (county),388 Oak Grove Road,0,0,"View Incident
View Source"
48,50,1506609,September 17,2019,Pennsylvania,Erie,1800 block of Chestnut St,0,2,"View Incident
View Source"
48,50,739947,December 31,2016,Kansas,Topeka,2600 block of SE Massachusetts Ave,0,1,"View Incident
View Source"
48,50,1290813,December 31,2018,Virginia,Richmond,3600 Kings Point Ct,2,0,"View Incident
View Source"
49,51,770614,December 31,2016,Florida,Lakeland,2440 US-92,0,0,"View Incident
View Source"
49,51,1291724,December 31,2018,Florida,Fort Pierce,100 block of N 29th St,0,0,"View Incident
View Source"
49,51,1017597,December 31,2017,Illinois,Chicago,,0,1,"View Incident
View Source"
49,51,476195,December 31,2015,District of Columbia,Washington,3000 Stanton Road SE,0,1,"View Incident
View Source"
49,51,1506613,September 17,2019,Illinois,Rockford,S 6th St and E State St,0,2,"View Incident
View Source"
50,53,476725,December 31,2015,Maryland,Baltimore,5000 block of York Road,0,0,"View Incident
View Source"
50,53,739221,December 31,2016,Georgia,Covington,9176 US 278,0,1,"View Incident
View Source"
50,53,1506382,September 17,2019,Pennsylvania,Philadelphia,5400 block of Stewart St,1,0,"View Incident
View Source"
50,53,1019687,December 31,2017,Wisconsin,Sheboygan,1500 block of Martin Ave,0,0,"View Incident
View Source"
50,53,1290119,December 31,2018,Arkansas,Pulaski (county),,0,0,"View Incident
View Source"
51,54,745128,December 31,2016,Oklahoma,Oklahoma City,8300 block of 106th St,1,0,"View Incident
View Source"
51,54,1505801,September 17,2019,New Jersey,Newark,344 Hawthorne Ave,0,0,"View Incident
View Source"
51,54,1290117,December 31,2018,Arkansas,Pulaski (county),,0,0,"View Incident
View Source"
51,54,1018718,December 31,2017,New Jersey,Annandale,31 Petticoat Ln,0,1,"View Incident
View Source"
51,54,482569,December 31,2015,Georgia,Colbert,Southwinds Drive,0,0,"View Incident
View Source"
52,55,738686,December 31,2016,New York,Brooklyn,2265 Bedford Ave,1,0,"View Incident
View Source"
52,55,1506589,September 17,2019,Arizona,Tucson,E Avenida Selva del Ocote and S Calle Joya de Ventura,1,0,"View Incident
View Source"
52,55,1290112,December 31,2018,California,Fresno,3300 block of Belmont Ave,0,0,"View Incident
View Source"
52,55,476473,December 31,2015,California,Compton,15600 block of South Washington Avenue,1,0,"View Incident
View Source"
52,55,1018549,December 31,2017,Illinois,Rockford,Albert Ave and Blaisdell St,0,1,"View Incident
View Source"
53,56,740468,December 31,2016,Maine,Oakland,6 Rod Rd,0,0,"View Incident
View Source"
53,56,1018580,December 31,2017,Illinois,Rockford,1100 Greenwood Ave,0,0,"View Incident
View Source"
53,56,1290094,December 31,2018,Texas,Tyler,10672 County Road 383,1,1,"View Incident
View Source"
53,56,479277,December 31,2015,Rhode Island,Providence,298 Pocasset Avenue,0,1,"View Incident
View Source"
53,56,1505797,September 17,2019,New Jersey,Newark,14th Ave and S 16th St,0,1,"View Incident
View Source"
