,Unnamed: 0,Incident ID,Incident Date,year,State,City Or County,Address,Killed,Injured,Operations
168,175,1505814,September 16,2019,North Carolina,Charlotte,Alice Ave,0,2,"View Incident
View Source"
168,175,478600,December 30,2015,Kentucky,Louisville,600 block of South 26th Street,0,0,"View Incident
View Source"
168,175,1290515,December 31,2018,Colorado,Colorado Springs,8200 Broughton Ct,1,0,"View Incident
View Source"
169,176,1017968,December 30,2017,Minnesota,Burnsville,Hilltop Rd and Circle Dr,1,0,"View Incident
View Source"
169,176,1504878,September 16,2019,Pennsylvania,Bethlehem,E Morton St and New St,0,0,"View Incident
View Source"
169,176,740469,December 31,2016,Maine,Skowhegan,Back Rd,0,0,"View Incident
View Source"
169,176,476008,December 30,2015,Florida,Tampa,1700 block of University Woods Place,1,0,"View Incident
View Source"
169,176,1290535,December 31,2018,Wisconsin,Oshkosh,Pratt Trail,0,0,"View Incident
View Source"
170,177,1290506,December 31,2018,Texas,Abilene,2400 block of Glendale Dr,0,0,"View Incident
View Source"
170,177,481779,December 30,2015,Oregon,Medford,200 block of Dunthorpe Drive,0,0,"View Incident
View Source"
170,177,740187,December 31,2016,Missouri,Saint Louis,4400 block of S Spring Ave,2,0,"View Incident
View Source"
170,177,1019379,December 30,2017,Indiana,Lakeville,305 S Michigan St,0,0,"View Incident
View Source"
170,177,1505799,September 16,2019,Texas,Houston,20000 block of Castlegreen Dr,0,0,"View Incident
View Source"
171,178,1018044,December 30,2017,Massachusetts,Lawrence,,0,0,"View Incident
View Source"
171,178,1505784,September 16,2019,New Jersey,Jersey City,Astor Pl and Summit Ave,0,0,"View Incident
View Source"
171,178,1289545,December 31,2018,Wisconsin,Milwaukee,4000 block of W Good Hope Rd,1,0,"View Incident
View Source"
171,178,475691,December 30,2015,Louisiana,New Orleans,1700 block of Elysian Fields Avenue,1,1,"View Incident
View Source"
171,178,739456,December 31,2016,Arizona,Phoenix,39th Avenue and McDowell Road,0,2,"View Incident
View Source"
172,179,1289235,December 31,2018,Alabama,Huntsville,3208 Long Ave SW,0,1,"View Incident
View Source"
172,179,475755,December 30,2015,Washington,Centralia,I-5,0,0,"View Incident
View Source"
172,179,740871,December 31,2016,Washington,Kennewick,S Jean Street,0,1,"View Incident
View Source"
172,179,1505777,September 16,2019,Wisconsin,Milwaukee,N 9th St and W Locust St,0,0,"View Incident
View Source"
172,179,1017101,December 30,2017,Alabama,Springville,I-59,0,1,"View Incident
View Source"
