Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1021362,31-Dec-17,Texas,Kilgore,1910 Meadowgreen Dr,1,0,N/A
1017727,31-Dec-17,Tennessee,Nashville,I 65 and Trinity Lane,1,1,N/A
1018010,31-Dec-17,Alabama,Huntsville,1409 Lancewood Dr NW,0,1,N/A
1023659,31-Dec-17,North Carolina,Elizabethtown,968 Jacobs Loop Rd,0,1,N/A
1020322,31-Dec-17,Illinois,Urbana,1365 N Lincoln Ave,0,1,N/A
1017993,31-Dec-17,Georgia,Atlanta,Glenwood Ave,0,1,N/A
1020019,31-Dec-17,Washington,Marysville,5115 84th St NE,0,0,N/A
1017947,31-Dec-17,Michigan,Ypsilanti,Cliffs Dr,1,0,N/A
1017986,31-Dec-17,Texas,Lubbock,6002 Slide Rd,0,0,N/A
1018774,31-Dec-17,Virginia,Chesapeake,600 block of Happy Acres,0,1,N/A
1018763,31-Dec-17,Arkansas,Fayetteville,3215 N Northhills Blvd,0,0,N/A
1017868,31-Dec-17,Oklahoma,Oklahoma City,1111 S Eastern Ave,0,1,N/A
1017484,31-Dec-17,Florida,Orlando,I-4 and Kirkman Rd,0,3,N/A
1017977,31-Dec-17,Minnesota,Stillwater (Oak Park Heights),14800 block of 57th St N,0,0,N/A
1052098,31-Dec-17,Texas,San Antonio,1600 block of Mardell St,1,0,N/A
1161485,31-Dec-17,Arkansas,North Little Rock,5612 John F Kennedy Blvd,0,0,N/A
1078962,31-Dec-17,North Carolina,Engelhard,N Lake Rd,0,0,N/A
1019108,31-Dec-17,Colorado,Denver,214 S Federal Blvd,1,0,N/A
1017997,31-Dec-17,Missouri,Florissant,11300 block of Bristol Rock Rd,1,0,N/A
1017788,31-Dec-17,New York,Brooklyn,E 15th St and Ave S,0,1,N/A
1031302,31-Dec-17,California,Northridge,8644 Balboa Blvd,1,0,N/A
1025819,31-Dec-17,South Carolina,Florence,500 S Ballard St,1,0,N/A
1019944,31-Dec-17,California,San Diego,Teak St and S 38th Street,1,0,N/A
1018459,31-Dec-17,Missouri,Columbia,1612 N Providence Rd,0,0,N/A
1021272,31-Dec-17,Georgia,Mableton,Felton Ln,0,0,N/A
